"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4";"Mini360_step-down";1;"Mini360";;;
2;"max1";"PinHeader_1x05_P2.54mm_Vertical";1;"~";;;
3;"U7";"TO-92_Inline";1;"DS18B20";;;
4;"display/ads1";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04_Pin";;;
5;"dc-in1";"dc-in-plastic-standard";1;"~";;;
6;"RV1";"Potentiometer_Bourns_3266Y_Vertical";1;"res-a0";;;
7;"D1";"LED_D5.0mm_IRGrey";1;"LD271";;;
8;"K3,K6,K5,K7";"ZC32F-012-HS3";4;"ZC32F-012-HS3-copy";;;
9;"U2";"ESP-12E";1;"ESP-12F";;;
10;"J3,J2";"connector-12-green-mini";2;"Conn_01x12_Pin";;;
11;"C1";"CP_Radial_D10.0mm_P3.50mm";1;"C_Polarized_1000mF";;;
12;"U3";"Vishay_MOLD-3Pin";1;"TSOP23xx";;;
13;"U5";"PJ-320A";1;"PJ-320A";;;
14;"J5";"PinHeader_1x02_P2.54mm_Vertical";1;"reset";;;
15;"J1";"PinHeader_1x04_P2.54mm_Vertical";1;"prog";;;
16;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"flash";;;
17;"MX-RM-5V-RF-sensor1";"RF_Receiver_433_MHz";1;"Conn_01x04_Pin";;;
18;"R4,R21,R17,R24,R26,R25,R23,R22";"R_0805_2012Metric";8;"R-1k";;;
19;"IRLR2,IRLR3,IRLR1";"TO-252-2";3;"~";;;
20;"Q10,Q5,Q1,Q8";"SOT-23";4;"MMBT5401";;;
21;"R5,R8,R1,R16,R3";"R_0805_2012Metric";5;"R-100";;;
22;"R10,R11,R13,R2,R6,R12,R9";"R_0805_2012Metric";7;"R-10k";;;
23;"Q9,Q11,Q6,Q7";"SOT-23";4;"MMBT5551-npn";;;
24;"U12";"SOT-223-3_TabPin2";1;"AMS1117-5.0";;;
25;"Jumper-d5,Jumper-d6,Jumper-d7";"R_0805_2012Metric";3;"1";;;
26;"U6";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
